,time_sec,time_hms,bus_lat,bus_lon,train_lat,train_lon,bus_trip_id_at_time,train_trip_id_at_time
0,33720,09:22:00,49.699244,20.42058,50.079505464,19.847534368,28446351_7953,2024_2025_813469
1,33750,09:22:30,49.70053725,20.419994000000003,50.08014793125,19.851153418750002,28446351_7953,2024_2025_813469
2,33780,09:23:00,49.7018305,20.419408,50.080776150000005,19.853987449999998,28446351_7953,2024_2025_813469
3,33810,09:23:30,49.70312375,20.418822,50.08140436875,19.856821481249998,28446351_7953,2024_2025_813469
4,33840,09:24:00,49.704417,20.418236,50.08184788709678,19.860675848387096,28446351_7953,2024_2025_813469
5,33870,09:24:30,49.7048235,20.42082275,50.08201435483871,19.866060719354838,28446351_7953,2024_2025_813469
6,33900,09:25:00,49.70523,20.423409499999998,50.082180822580646,19.87144559032258,28446351_7953,2024_2025_813469
7,33930,09:25:30,49.7056365,20.42599625,50.08234729032258,19.87683046129032,28446351_7953,2024_2025_813469
8,33960,09:26:00,49.706043,20.428583,50.082513758064515,19.882215332258063,28446351_7953,2024_2025_813469
9,33990,09:26:30,49.7072125,20.426809499999997,50.08268022580645,19.887600203225805,28446351_7953,2024_2025_813469
10,34020,09:27:00,49.708382,20.425036,50.082777112,19.89292174,28446351_7953,2024_2025_813469
11,34050,09:27:30,49.710654500000004,20.4231775,50.082595672,19.89798994,28446351_7953,2024_2025_813469
12,34080,09:28:00,49.712927,20.421319,50.082414232,19.90305814,28446351_7953,2024_2025_813469
13,34110,09:28:30,49.714047,20.4195655,50.082232792,19.90812634,28446351_7953,2024_2025_813469
14,34140,09:29:00,49.715167,20.417812,50.082051352,19.91319454,28446351_7953,2024_2025_813469
15,34170,09:29:30,49.715901,20.416354,50.08161247173913,19.917906804347826,28446351_7953,2024_2025_813469
16,34200,09:30:00,49.716635,20.414896,50.08014383043478,19.921195326086956,28446351_7953,2024_2025_813469
17,34230,09:30:30,49.7182585,20.4118055,50.078675189130436,19.924483847826085,28446351_7953,2024_2025_813469
18,34260,09:31:00,49.719882,20.408715,50.07720654782609,19.92777236956522,28446351_7953,2024_2025_813469
19,34290,09:31:30,49.72072,20.4072055,50.07573790652174,19.931060891304348,28446351_7953,2024_2025_813469
20,34320,09:32:00,49.721558,20.405696,50.07426926521739,19.934349413043478,28446351_7953,2024_2025_813469
21,34350,09:32:30,49.7209615,20.40072275,50.07280062391304,19.937637934782607,28446351_7953,2024_2025_813469
22,34380,09:33:00,49.720365,20.3957495,50.0713319826087,19.94092645652174,28446351_7953,2024_2025_813469
23,34410,09:33:30,49.7197685,20.39077625,50.06986334130435,19.94421497826087,28446351_7953,2024_2025_813469
24,34440,09:34:00,49.719172,20.385803,50.0683947,19.9475035,28446351_7953,2024_2025_813469
25,34470,09:34:30,49.71987675,20.380543,50.06748964881874,19.9475381315224,28446351_7953,2024_2025_813469
26,34500,09:35:00,49.7205815,20.375283,50.06658459763748,19.9475727630448,28446351_7953,2024_2025_813469
27,34530,09:35:30,49.721286250000006,20.370023,50.065679546456224,19.9476073945672,28446351_7953,2024_2025_813469
28,34560,09:36:00,49.721991,20.364763,50.06477449527497,19.9476420260896,28446351_7953,2024_2025_813469
29,34590,09:36:30,49.72191275,20.361314,50.063869444093704,19.947676657612,28446351_7953,2024_2025_813469
30,34620,09:37:00,49.7218345,20.357865,50.06296439291245,19.9477112891344,28446351_7953,2024_2025_813469
31,34650,09:37:30,49.72175625,20.354416,50.06205934173119,19.9477459206568,28446351_7953,2024_2025_813469
32,34680,09:38:00,49.721678,20.350967,50.06115429054993,19.9477805521792,28446351_7953,2024_2025_813469
33,34710,09:38:30,49.721458999999996,20.3466685,50.06024923936867,19.9478151837016,28446351_7953,2024_2025_813469
34,34740,09:39:00,49.72124,20.34237,50.05934418818742,19.947849815224,28446351_7953,2024_2025_813469
35,34770,09:39:30,49.721776000000006,20.33798025,50.058439137006154,19.9478844467464,28446351_7953,2024_2025_813469
36,34800,09:40:00,49.722312,20.3335905,50.0575340858249,19.9479190782688,28446351_7953,2024_2025_813469
37,34830,09:40:30,49.722848,20.32920075,50.05526021436867,19.9501475587016,28446351_7953,2024_2025_813469
38,34860,09:41:00,49.723384,20.324811,50.05298634291245,19.9523760391344,28446351_7953,2024_2025_813469
39,34890,09:41:30,49.726525,20.324724500000002,50.05071247145622,19.954604519567198,28446351_7953,2024_2025_813469
40,34920,09:42:00,49.729666,20.324638,50.0484386,19.956833,28446351_7953,2024_2025_813469
41,34950,09:42:30,49.730595,20.321736,50.046516585714286,19.95943432857143,28446351_7953,2024_2025_813469
42,34980,09:43:00,49.731524,20.318834,50.04459457142857,19.962035657142856,28446351_7953,2024_2025_813469
43,35010,09:43:30,49.733151,20.314618,50.04267255714286,19.964636985714286,28446351_7953,2024_2025_813469
44,35040,09:44:00,49.734778,20.310402,50.04075054285714,19.967238314285712,28446351_7953,2024_2025_813469
45,35070,09:44:30,49.735562,20.3024785,50.03882852857143,19.969839642857142,28446351_7953,2024_2025_813469
46,35100,09:45:00,49.736346,20.294555,50.03690651428571,19.97244097142857,28446351_7953,2024_2025_813469
47,35130,09:45:30,49.734871,20.289924499999998,50.0349845,19.9750423,28446351_7953,2024_2025_813469
48,35160,09:46:00,49.733396,20.285294,50.03328834,19.9798196,28446351_7953,2024_2025_813469
49,35190,09:46:30,49.731921,20.280663500000003,50.03159218,19.9845969,28446351_7953,2024_2025_813469
50,35220,09:47:00,49.730446,20.276033,50.02989602,19.9893742,28446351_7953,2024_2025_813469
